video_id,title,channel,channel_id,publish_date,video_age_days,title_length_words,title_sentiment,category_id,category_name,view_count,like_count,comment_count,like_view_ratio_percent,comment_view_ratio_percent,region,subscriber_count
i06XbHXq_1g,Avatar 3 Fire and Ash Tamil Trailer Breakdown (தமிழ்),Mokka Commentry,UC3Y7OyuS9jNdZy3ZadrAbWQ,2025-07-29T03:41:50Z,2,9,-0.34,24,Entertainment,136997,8589,278,6.269480353584385,0.2029241516237582,IN,918000
yX5O3-gYAaw,"I Got Legendary Itachi Bundle In 50,000 Diamonds 😱 Garena Free Fire ",LOKESH GAMER,UCdQPeeJ0qGK6wWBiEJWcdsQ,2025-07-30T05:47:13Z,1,12,-0.5994,20,Gaming,409768,24658,3453,6.017551394935671,0.8426719509576149,IN,16500000
ULoDF6uKO28,Radu Nako Bala Mi Panyala Jate | Original Song | Shivani Shinde | Gavlan | Sumeet Music,Sumeet Music,UC06UXRnhvgWfYWnnYq2CYVQ,2025-07-27T13:04:11Z,3,17,0.3182,10,Music,859671,10976,279,1.2767675075697564,0.03245427611260587,IN,8870000
quS0KgQzCQ0,ANDAAZ 2 | Official Trailer | Aayush Kumar | Aakaisha | Natasha Fernandez | Suneel Darshan #andaaz2,Shree Krishna International,UCjHUNcqsrWi-0NmRYFreOEQ,2025-07-28T12:30:03Z,2,17,0.0,24,Entertainment,5676482,51713,4214,0.911004386167348,0.07423612018852523,IN,4050000
EyR_WTQd5PA,Spinning Legendary Itachi Bundle 🔥 FF Babai Diamonds💎 Anni Dhobbesadu.!😭- FreeFire Telugu - MBG ARMY,MBG ARMY,UCrPezsltlsZZiEkxTE2l39g,2025-07-30T15:40:06Z,0,15,-0.3091,20,Gaming,161286,17604,433,10.914772515903426,0.2684671949208239,IN,1700000
Dr0xGL52kAA,नीलकमल सिंह का रुला देने वाला बेवफाई गीत | Neelkamal Singh HirtBroken Song 2025,Durga Music Bhojpuri,UC9q08nebhl4eAx6GOcaDKoQ,2025-07-29T00:45:01Z,2,14,0.0,22,People & Blogs,35840,187,5,0.5217633928571428,0.013950892857142856,IN,394
eKr9h70guPQ,Avatar: Fire And Ash Trailer REVIEW | Deeksha Sharma,Filmi Indian,UCeiAKuJGZrIjYvaq0nMwbJg,2025-07-29T07:39:34Z,2,9,-0.34,24,Entertainment,276795,10029,462,3.623259090662765,0.16691052945320545,IN,4640000
S4tORNwHqPU,MUMMY CRATE OPENING 20K UC ericislive #shortslive #bgmi #bgmilive #bgmishorts #transformers,ERIC is LIVE,UCCAJcmA8Af9-zTDZaegc_YA,2025-07-31T09:26:41Z,0,11,0.0,20,Gaming,367463,3389,0,0.9222697251151817,0.0,IN,840000
qCniOh35WK4,SWAMI 2 (स्वामी २) Official Music Video | Prashant Gawali | Brahmaa | Manish| Harshavardhan | Narhar,Bhairava Films,UC0ok8VQR9gPV9-mkJkKVJBg,2025-07-31T02:30:06Z,0,17,0.0,10,Music,48996,5816,407,11.870356763817455,0.8306800555147358,IN,61700
BhPmXW24Z_0,PROJECT HAIL MARY - Hindi Trailer | Releasing Exclusively In Cinemas 20 March 2026,Sony Pictures India,UCFqyJFbsV-uEcosvNhg0PaQ,2025-07-29T12:30:31Z,1,14,0.2577,24,Entertainment,298149,10094,238,3.3855555443754635,0.07982585888263923,IN,1350000
